Begin Trip Lat,Begin Trip Lng,Dropoff Lat,Dropoff Lng
40.4249529,-86.9245559,40.4249529,-86.9245559
41.89141605,-87.62406689,41.97634591,-87.90268161
41.8910345,-87.6239411,41.9055884,-87.6700009
41.79166814,-87.58287203,41.89094493,-87.62349486
41.89113158,-87.62436781,41.83693833,-87.64624624
41.89246985,-87.62427308,41.89228209,-87.62426668
41.89007555,-87.62787715,41.89007517,-87.62794378
41.89120563,-87.62406342,41.88443544,-87.64355643
41.8925118,-87.6263848,41.8921348,-87.6253885
41.66121082,-87.75659527,41.88069056,-87.63130859
40.42473474,-86.92336156,40.42285394,-86.90556579
40.41946087,-86.82922309,40.42744682,-86.91488458
40.4249529,-86.9245559,40.4249529,-86.9245559
40.41912777,-86.88783623,40.42488329,-86.92346334
40.4256963,-86.9258168,40.4194927,-86.8293216
40.4195059,-86.8293122,40.4303626,-86.9131053
40.42488882,-86.92345597,40.41945559,-86.82934513
40.45951153,-86.94086008,40.42478521,-86.92346423
40.5138694,-80.2225083,40.495914,-80.2565527
40.4259509,-86.9103147,40.4249292,-86.9234435
40.4250114,-86.92336905,40.42580513,-86.90990578
41.89902184,-87.63594909,41.89117043,-87.61893743
40.6658669,-73.7357972,40.6397293,-73.7437243
40.63971239,-73.74347139,40.66112828,-73.70401785
40.4228277,-86.9055503,40.425133,-86.9233749
40.42202221,-86.90145066,40.42533401,-86.92454964
40.4227753,-86.9053717,40.4252431,-86.9234764
40.7521947,-73.8538085,40.7594917,-73.832234
40.7576791,-73.8342018,40.7523625,-73.8533075
40.75219482,-73.85387079,40.75996197,-73.83251253
40.72955151,-73.99324046,40.74779592,-73.98703082
40.75265607,-73.98483546,40.75599308,-74.0018452
40.76497186,-73.9745262,40.7526286,-73.98477001
40.7649241,-73.97441249,40.76503525,-73.97498324
40.76487281,-73.97241368,40.76487281,-73.97241368
40.76372511,-73.97369735,40.76334734,-73.97369423
40.23507287,-76.84119078,40.29253601,-76.97588696
41.8900393,-87.6373201,41.8537503,-87.6333818
32.88023572,-117.2325288,32.72283029,-117.1683156
32.87263782,-117.2186074,32.87359906,-117.2182914
32.75335018,-117.1958048,32.70998745,-117.1710899
32.7162024,-117.1673315,32.7531769,-117.1960535
32.7308824,-117.2029746,32.716177,-117.1675809
34.06038946,-118.4374009,33.94249334,-118.4066257
34.14339373,-118.2549428,34.14361128,-118.2557029
34.15018047,-118.2452203,34.14268806,-118.2543624
34.06233641,-118.447562,34.0639094,-118.3053138
34.0386572,-118.4418226,34.0598484,-118.4376576
34.06037567,-118.4375287,34.03849258,-118.4417483
34.07342223,-118.3768482,34.08797514,-118.4758007
33.942511,-118.4061125,34.0603093,-118.437453
28.3578922,-81.4927631,28.4302804,-81.3081825
28.40388184,-81.5782734,28.35792286,-81.4929064
28.47340282,-81.46363897,28.35788426,-81.49294353
28.33322458,-81.49493566,28.47363713,-81.46348969
28.47347821,-81.46351567,28.35689319,-81.49468403
